date,campaign_id,channel,impressions,clicks,leads,conversions,cost,revenue_attributed,ROI,CPA,CPL,CAC
2025-11-20,CAMP_EM_PAN_09,Email,59,8,1,0,3.02,24.32,7.0530,,3.02,
2025-11-20,CAMP_GGL_BRAND_01,Google Ads,91,13,2,0,201.05,84.90,-0.5777,,100.53,
2025-11-20,CAMP_GGL_GEN_02,Google Ads,93,8,2,0,102.46,87.96,-0.1415,,51.23,
2025-11-20,CAMP_LI_B2B_08,LinkedIn Ads,3,0,0,0,0.00,0.00,,,,
2025-11-20,CAMP_META_AWR_05,Meta (FB/IG),96,4,1,0,4.21,37.25,7.8480,,4.21,
2025-11-20,CAMP_ORG_JUMPP_16,Organic Search,141,20,4,0,0.00,90.75,,,0.00,
2025-11-20,CAMP_ORG_SHOONYA_15,Organic Search,83,9,2,0,0.00,41.45,,,0.00,
2025-11-20,CAMP_PUSH_WLC_13,Push Notification (WebEngage),80,8,1,0,1.36,22.94,15.8676,,1.36,
2025-11-20,CAMP_REF_INVITE_17,Referral,2,1,1,0,0.00,20.59,,,0.00,
2025-11-20,CAMP_SMS_OTP_11,SMS,44,3,0,0,6.82,0.00,-1.0000,,,
2025-11-21,CAMP_EM_PAN_09,Email,52,7,4,0,2.82,79.00,27.0142,,0.70,
2025-11-21,CAMP_GGL_BRAND_01,Google Ads,103,21,1,0,435.55,42.07,-0.9034,,435.55,
2025-11-21,CAMP_GGL_GEN_02,Google Ads,102,8,1,0,98.44,39.40,-0.5998,,98.44,
2025-11-21,CAMP_LI_B2B_08,LinkedIn Ads,3,1,1,0,36.36,43.76,0.2035,,36.36,
2025-11-21,CAMP_META_AWR_05,Meta (FB/IG),140,3,2,0,6.32,70.73,10.1915,,3.16,
2025-11-21,CAMP_ORG_JUMPP_16,Organic Search,91,9,2,0,0.00,38.93,,,0.00,
2025-11-21,CAMP_ORG_SHOONYA_15,Organic Search,101,17,3,0,0.00,65.46,,,0.00,
2025-11-21,CAMP_PUSH_WLC_13,Push Notification (WebEngage),60,4,1,0,0.97,22.46,22.1546,,0.97,
2025-11-21,CAMP_REF_INVITE_17,Referral,2,0,3,0,0.00,62.77,,,0.00,
2025-11-21,CAMP_SMS_OTP_11,SMS,52,3,0,0,7.76,0.00,-1.0000,,,
2025-11-22,CAMP_EM_PAN_09,Email,50,6,4,0,2.73,77.51,27.3919,,0.68,
2025-11-22,CAMP_GGL_BRAND_01,Google Ads,64,17,3,0,276.84,115.59,-0.5825,,92.28,
2025-11-22,CAMP_GGL_GEN_02,Google Ads,90,8,2,0,110.20,78.25,-0.2899,,55.10,
2025-11-22,CAMP_LI_B2B_08,LinkedIn Ads,5,1,2,0,32.99,80.38,1.4365,,16.50,
2025-11-22,CAMP_META_AWR_05,Meta (FB/IG),105,1,2,0,4.74,77.05,15.2553,,2.37,
2025-11-22,CAMP_ORG_JUMPP_16,Organic Search,114,16,1,0,0.00,21.33,,,0.00,
2025-11-22,CAMP_ORG_SHOONYA_15,Organic Search,86,9,0,0,0.00,0.00,,,,
2025-11-22,CAMP_PUSH_WLC_13,Push Notification (WebEngage),64,5,3,0,1.10,72.12,64.5636,,0.37,
2025-11-22,CAMP_REF_INVITE_17,Referral,2,1,0,0,0.00,0.00,,,,
2025-11-22,CAMP_REF_PARTNER_18,Referral,3,1,0,0,0.00,0.00,,,,
2025-11-22,CAMP_SMS_OTP_11,SMS,38,3,0,0,5.78,0.00,-1.0000,,,
2025-11-23,CAMP_EM_PAN_09,Email,46,5,0,0,2.66,0.00,-1.0000,,,
2025-11-23,CAMP_GGL_BRAND_01,Google Ads,79,13,1,0,208.03,41.43,-0.8008,,208.03,
2025-11-23,CAMP_GGL_GEN_02,Google Ads,78,9,0,0,125.89,0.00,-1.0000,,,
2025-11-23,CAMP_LI_B2B_08,LinkedIn Ads,8,0,0,0,0.00,0.00,,,,
2025-11-23,CAMP_META_AWR_05,Meta (FB/IG),91,2,4,0,4.06,136.91,32.7217,,1.01,
2025-11-23,CAMP_ORG_JUMPP_16,Organic Search,53,6,0,0,0.00,0.00,,,,
2025-11-23,CAMP_ORG_SHOONYA_15,Organic Search,90,10,3,0,0.00,58.41,,,0.00,
2025-11-23,CAMP_PUSH_WLC_13,Push Notification (WebEngage),55,8,4,0,0.92,97.08,104.5217,,0.23,
2025-11-23,CAMP_REF_INVITE_17,Referral,3,2,0,0,0.00,0.00,,,,
2025-11-23,CAMP_REF_PARTNER_18,Referral,1,2,0,0,0.00,0.00,,,,
2025-11-23,CAMP_SMS_OTP_11,SMS,51,9,0,0,7.75,0.00,-1.0000,,,
2025-11-24,CAMP_EM_PAN_09,Email,56,8,1,0,3.05,23.95,6.8525,,3.05,
2025-11-24,CAMP_GGL_BRAND_01,Google Ads,118,20,2,0,323.27,76.80,-0.7624,,161.63,
2025-11-24,CAMP_GGL_GEN_02,Google Ads,113,9,4,0,132.60,134.25,0.0124,,33.15,
2025-11-24,CAMP_LI_B2B_08,LinkedIn Ads,2,0,1,0,0.00,35.48,,,0.00,
2025-11-24,CAMP_META_AWR_05,Meta (FB/IG),140,4,5,0,6.23,190.89,29.6404,,1.25,
2025-11-24,CAMP_ORG_JUMPP_16,Organic Search,94,9,5,0,0.00,109.00,,,0.00,
2025-11-24,CAMP_ORG_SHOONYA_15,Organic Search,154,21,4,0,0.00,96.33,,,0.00,
2025-11-24,CAMP_PUSH_WLC_13,Push Notification (WebEngage),74,9,3,0,1.28,57.77,44.1328,,0.43,
2025-11-24,CAMP_REF_INVITE_17,Referral,2,2,3,0,0.00,55.86,,,0.00,
2025-11-24,CAMP_REF_PARTNER_18,Referral,3,1,1,0,0.00,22.89,,,0.00,
2025-11-24,CAMP_SMS_OTP_11,SMS,55,5,0,0,8.08,0.00,-1.0000,,,
2025-11-25,CAMP_EM_PAN_09,Email,51,7,1,0,2.66,21.85,7.2143,,2.66,
2025-11-25,CAMP_GGL_BRAND_01,Google Ads,115,16,2,0,254.85,79.91,-0.6864,,127.42,
2025-11-25,CAMP_GGL_GEN_02,Google Ads,134,11,3,0,151.95,117.68,-0.2255,,50.65,
2025-11-25,CAMP_LI_B2B_08,LinkedIn Ads,32,0,0,0,0.00,0.00,,,,
2025-11-25,CAMP_META_AWR_05,Meta (FB/IG),85,2,5,0,3.83,193.42,49.5013,,0.77,
2025-11-25,CAMP_ORG_JUMPP_16,Organic Search,102,12,3,0,0.00,64.97,,,0.00,
2025-11-25,CAMP_ORG_SHOONYA_15,Organic Search,92,12,3,0,0.00,59.67,,,0.00,
2025-11-25,CAMP_PUSH_WLC_13,Push Notification (WebEngage),79,9,4,0,1.27,74.62,57.7559,,0.32,
