user_id,first_touch,registration_date,kyc_date,activation_date,first_trade_date,total_revenue_30d,arpu_segment,cohort_month,retention_7d,retention_14d,retention_30d
U000001,Meta (FB/IG),,,,,0.00,Low,,0,0,0
U000002,Organic Search,2025-12-05,2025-12-13,,,0.00,Low,2025-12,1,1,0
U000003,Push Notification (WebEngage),2025-12-25,2025-12-30,,,0.00,Low,2025-12,0,0,0
U000004,Meta (FB/IG),2025-11-23,2025-11-27,2025-12-02,,0.00,Low,2025-11,0,0,0
U000005,Organic Search,,,,,0.00,Low,,0,0,0
U000006,Meta (FB/IG),2025-11-26,2025-12-01,2025-12-04,,0.00,Low,2025-11,0,0,0
U000007,Organic Search,,,,,0.00,Low,,0,0,0
U000008,Organic Search,,,,,0.00,Low,,0,0,0
U000009,Push Notification (WebEngage),,,,,0.00,Low,,0,0,0
U000010,Push Notification (WebEngage),,,,,0.00,Low,,0,0,0
U000011,Push Notification (WebEngage),,,,,0.00,Low,,0,0,0
U000012,Organic Search,,,,,0.00,Low,,0,0,0
U000013,Email,,,,,0.00,Low,,0,0,0
U000014,Meta (FB/IG),2025-11-23,2025-11-28,2025-12-08,2025-12-11,1134.36,Medium,2025-11,1,1,1
U000015,Google Ads,2026-02-11,2026-02-15,,,0.00,Low,2026-02,0,0,0
U000016,Google Ads,,,,,0.00,Low,,0,0,0
U000017,Email,,,,,0.00,Low,,0,0,0
U000018,Email,2026-01-17,,,,0.00,Low,2026-01,0,0,0
U000019,Organic Search,,,,,0.00,Low,,1,0,0
U000020,Email,2025-12-23,2025-12-25,,,0.00,Low,2025-12,0,0,0
U000021,Referral,,,,,0.00,Low,,0,0,0
U000022,Referral,,,,,0.00,Low,,0,0,0
U000023,Google Ads,,,,,0.00,Low,,0,0,0
U000024,Meta (FB/IG),2025-12-30,,,,0.00,Low,2025-12,0,0,0
U000025,Email,,,,,0.00,Low,,0,0,0
U000026,LinkedIn Ads,,,,,0.00,Low,,0,0,0
U000027,Meta (FB/IG),2025-12-06,,,,0.00,Low,2025-12,0,0,0
U000028,Google Ads,2026-02-01,2026-02-02,2026-02-08,,0.00,Low,2026-02,0,0,0
U000029,Push Notification (WebEngage),,,,,0.00,Low,,0,0,0
U000030,Organic Search,2025-12-06,2025-12-10,2025-12-19,,0.00,Low,2025-12,1,0,0
U000031,Google Ads,2025-12-31,2026-01-04,,,0.00,Low,2025-12,1,1,0
U000032,SMS,,,,,0.00,Low,,0,0,0
U000033,Organic Search,2026-02-07,,,,0.00,Low,2026-02,0,0,0
U000034,Organic Search,2026-01-11,2026-01-17,2026-01-23,,0.00,Low,2026-01,1,0,0
U000035,Organic Search,2026-01-18,2026-01-19,2026-01-20,2026-01-28,449.18,Low,2026-01,0,0,0
U000036,Push Notification (WebEngage),,,,,0.00,Low,,0,0,0
U000037,Organic Search,2026-01-25,2026-01-30,,,0.00,Low,2026-01,1,1,0
U000038,Referral,2026-02-05,2026-02-06,2026-02-14,2026-02-17,171.96,Low,2026-02,1,1,1
U000039,Push Notification (WebEngage),,,,,0.00,Low,,0,0,0
U000040,Google Ads,,,,,0.00,Low,,0,0,0
U000041,SMS,2025-12-29,2026-01-06,,,0.00,Low,2025-12,0,0,0
U000042,Organic Search,,,,,0.00,Low,,0,0,0
U000043,Google Ads,,,,,0.00,Low,,0,0,0
U000044,Email,2026-01-10,2026-01-13,,,0.00,Low,2026-01,0,0,0
U000045,Push Notification (WebEngage),,,,,0.00,Low,,0,0,0
U000046,Meta (FB/IG),2025-12-05,2025-12-07,,,0.00,Low,2025-12,0,0,0
